Date,Date2,WY,WYNN,XEL,XLEFF,XOM,XYL,YUM,ZBH,ZION,ZTS,,,
02-11-2022,02-11-2022,29.49678421,67.12999725,65.30999756,0.165000007,108.7346573,103.9922638,116.8345337,107.6900024,49.08986664,147.3600006,,,
02-12-2013,02-12-2013,20.90593147,140.7684631,21.0177784,0.086999997,62.90421677,30.17262077,47.05651093,82.22447968,24.63749504,29.2641964,,,
02-12-2014,02-12-2014,25.7786293,153.783432,27.13425064,0.086999997,65.15129852,34.30271149,48.43265915,104.260643,23.3565712,42.40426636,,,
02-12-2015,02-12-2015,24.08176804,62.04130936,28.62267303,0.085000001,56.91236496,33.8745842,47.35428238,93.92818451,25.59486008,44.26968384,,,
02-12-2016,02-12-2016,24.53147316,91.39109802,32.56218719,0.048999999,64.47040558,48.16298294,56.15325546,92.81312561,34.74980164,47.26924896,,,
02-12-2019,02-12-2019,25.96674156,118.396492,56.45110703,0.085000001,57.41198349,73.87552643,95.20503998,137.1445313,45.26392365,117.7099686,,,
02-12-2020,02-12-2020,26.29606056,105.1299973,65.00616455,0.132100001,36.19063187,94.00830841,101.3021317,141.4789276,39.47771835,156.927597,,,
02-12-2021,02-12-2021,36.43878937,82.29000092,62.89710999,0.234200001,58.94177246,118.7945862,124.1437836,118.362793,62.33349228,221.5644073,,,
02-12-2022,02-12-2022,32.41999817,85.15000153,69.13999939,0.165000007,109.8600006,113.5299988,129.6799927,122.9700012,52.25,157.4199982,,,
03-01-2014,03-01-2014,22.13485718,167.4798431,20.90966415,0.086999997,66.93328094,30.67091179,45.75459671,83.84903717,25.19436836,30.1097126,,,
03-01-2017,03-01-2017,23.9863224,81.03271484,34.42850876,0.052000001,67.32207489,46.16394424,56.86395264,95.93559265,37.28868866,51.59184265,,,
03-01-2018,03-01-2018,29.19517899,153.058075,41.51350403,0.240600005,66.66313171,64.89034271,74.61338806,116.9048538,44.16995239,69.9122467,,,
03-01-2019,03-01-2019,18.99788666,99.2806778,43.40727615,0.193100005,54.9480896,61.20941162,83.00694275,94.79798126,36.78511047,79.55659485,,,
03-01-2020,03-01-2020,26.47530937,140.2927551,58.19020844,0.085000001,59.0146904,77.51381683,96.4263382,141.4993744,47.27565765,131.6985016,,,
03-01-2022,03-01-2022,38.38799667,87.76999664,66.55202484,0.300000012,61.11553955,115.3888855,133.9552155,124.5678787,62.51839447,232.3254395,,,
03-02-2014,03-02-2014,20.75760651,178.9897919,21.75364685,0.086999997,60.57021332,29.18496895,40.26596451,82.24700165,23.54905891,28.5970726,,,
03-02-2015,03-02-2015,25.93172264,137.5004883,29.7172699,0.097999997,63.80939102,31.92982674,45.75514221,106.4989548,21.46462631,41.30651855,,,
03-02-2016,03-02-2016,19.304842,57.21386719,32.18869019,0.060699999,56.14683914,32.7011261,46.07943726,89.52820587,18.61910248,39.52544022,,,
03-02-2017,03-02-2017,25.36893845,89.79750061,35.13200378,0.052000001,61.87794113,45.79203796,59.85710526,109.6857681,37.40093613,53.94137573,,,
03-02-2020,03-02-2020,25.37816429,127.5100174,64.4752655,0.085000001,50.95922089,80.42829895,100.743515,141.2140961,42.16403198,133.2259064,,,
03-02-2021,03-02-2021,31.12127876,108.4199982,60.19621658,0.215299994,42.96844482,93.01092529,101.0608749,151.9722137,43.68172073,153.4924622,,,
03-02-2022,03-02-2022,39.09765625,84.23000336,68.05077362,0.190359995,76.63969421,90.47303009,122.9860382,116.9855652,67.05351257,199.7769165,,,
03-03-2014,03-03-2014,20.83310699,208.7115021,22.81813812,0.086999997,64.690979,34.4622879,44.80015564,85.44200897,26.12255859,29.18087959,,,
03-03-2015,03-03-2015,25.58882523,124.8288193,27.3882122,0.097999997,61.06301117,32.69989395,50.66569519,108.8816147,22.94178009,44.19324112,,,
03-03-2016,03-03-2016,20.66967964,80.53297424,32.47571182,0.060699999,59.48638916,35.14008713,48.58534241,91.02862549,20.19851112,39.30536652,,,
03-03-2017,03-03-2017,27.22304344,94.09051514,37.05599213,0.052000001,61.6364975,45.47809982,58.77257156,109.8157501,39.24246979,51.52983093,,,
03-03-2020,03-03-2020,24.03821373,102.4400024,61.00317764,0.085000001,43.66439438,77.32759857,86.83506012,127.2837982,35.83430481,134.9167938,,,
03-03-2021,03-03-2021,30.70010185,135.6199951,55.28942871,0.275000006,52.0839119,99.1780014,100.3623581,153.112793,51.81630325,147.6486206,,,
03-03-2022,03-03-2022,38.56900406,85.29000092,67.7177124,0.197469994,78.81193542,88.06832123,117.9878082,121.3496323,66.51779175,194.7556458,,,
